figure,file,alt_text
Figure 1,fig01_calibration.pdf,"Three square panels side by side, each plotting predicted against observed 10-year cumulative incidence from 0 to 30% with a dotted diagonal for perfect calibration. In every panel a dashed orange curve with circles runs below the diagonal and a solid blue curve with squares runs closer to it, so the naive model over-predicts in all three. Open markers flag deciles with too few events. A rug strip under each panel puts most predicted risk below 10%."
Figure 2,fig02_two_halves.pdf,"Five panels. Three small forest plots down the left show differences in E/O, calibration slope and calibration index for three model pairs; all nine intervals sit clear of the vertical zero line, positive for the first and third, negative for slope. The large panel at right plots the difference in net benefit at five thresholds: every interval crosses the horizontal zero line and every marker is open. Below it, the fraction above threshold falls from about 60% to 20%."
Figure 3,fig03_closed_form.pdf,"Three panels. Top left, five bars: a hatched reference bar at 100%, then heterogeneity tallest of the four components near 72%, change of estimand about a third, and two near zero. Right, a tall scatter of competing-event against event incidence in percent, crossed by five gently sloping contours labelled 1.05 to 1.60; open circles rise diagonally, with three filled diamonds low down and one star at 14 by 9%. Bottom left, at three horizons a square near 30% and a triangle near 100%, joined by a line marked about 3.25 times."
Figure 4,fig04_alpha_sweep.pdf,"Six panels in two rows of three, paired by column. The top row plots three measures against a loss weight from 0 to 1: on log axes the calibration index and the expected-over-observed ratio fall steeply then flatten, while concordance stays flat near 0.83 throughout. The bottom row shows the same measures as paired differences for two validation designs; the calibration markers sit right of the vertical zero line, one interval still crossing it, and the concordance markers straddle zero."
Figure S1,figS1_discrimination.pdf,"Three panels. The first two are forest plots of time-dependent AUC and of concordance for ten models, every point clustered between 0.80 and 0.85 with heavily overlapping intervals, and a dashed horizontal rule separating the four naive models above from the six competing-risk models below. The third plots paired differences for five contrasts: every interval crosses the vertical zero line, and the two contrasts that are not learner-matched are drawn in grey at the bottom with much wider intervals."
Figure S2,figS2_two_halves_full.pdf,"The same five-panel layout as Figure 2 with a sixth decision threshold added at the right. The three left-hand forest plots are unchanged. In the net-benefit panel the five lower thresholds again all cross the zero line with open markers, while at the 20% threshold, set off by a dotted rule and labelled supplement only, all three markers are filled and sit well below zero. The panel beneath shows only about 2 to 7% of the sample above that threshold."
Figure S3,figS3_drift.pdf,"Two panels. Left, expected over observed for two Cox models under two validation designs at three horizons: the out-of-fold points sit on the dashed reference line at 1 while the temporal points sit well above it, and two open markers with dotted intervals at 15 years are flagged as not estimable. Right, the ratio between the two models rises from about 1.05 at 5 years to about 1.28 at 15, with a horizontal reference line near 1.15."
Figure S4,figS4_strata.pdf,"Six panels in two rows of three, by age group, sex and survey cycle. In the top row the naive model's marker sits above its competing-risk partner in every stratum, and both rise across middle age then fall in the oldest band, all above the dashed line at 1. The bottom row gives cardiovascular deaths per stratum as open bars with the informative fraction printed above each; only the youngest age band falls below the dashed rule at 15 events."
Figure S5,figS5_calibration_cv.pdf,"The same three-panel calibration layout as Figure 1, on the cross-validated split. The solid blue curves with squares now track the dotted diagonal closely across the whole range, while the dashed orange curves with circles sit below it and the gap widens as predicted risk rises. Fewer low deciles carry the open sparse marker than in Figure 1. Rug strips again place most predicted risk below 10%."
Figure S6,figS6_two_halves_cv.pdf,"The same five-panel layout as Figure 2 on the cross-validated split, with all six decision thresholds. The three calibration forest plots sit clear of the zero line and are visibly tighter than their temporal counterparts. In the net-benefit panel almost every interval crosses zero; two filled markers, both the binomial pair, sit below the line at the 7.5% and 20% thresholds. The fraction above threshold falls from about 60% to under 5%."
Figure S7,figS7_smoothers.pdf,"Two stacked panels sharing six smoother names along the x axis. The upper panel plots the paired difference in the integrated calibration index: all six markers sit above the heavy horizontal zero line, four clustered near 6.6 per 1,000, one lower at about 4.7, and the Austin-concordant smoother at the right lowest of all near 1.8. The lower panel plots each model's own index, the naive model above its competing-risk partner at every smoother."
Figure S8,figS8_instability.pdf,"Two panels. Left, seven statistics along the x axis, each carrying two markers that all fall between 93 and 102% against a dashed rule at 100%, so the seed accounts for nearly the whole of the spread. Right, a square scatter of the fraction of missing information before ensembling against after, 0 to 1.1 on both axes: almost every point lies well below the dotted diagonal, and four circled points remain near the top right corner."
